lyric,label
finding strength in every new day to of to,safe
finding strength in every new day the in a to,safe
a warm breeze through an open window in to to,safe
carrying the loss that will not fade,grief_trigger
want to die and end it all so I,self_harm
cutting myself to feel something just so so,self_harm
finding strength in every new day to a,safe
a warm breeze through an open window in is and the,safe
finding strength in every new day to the in and of,safe
soft piano notes drifting in silence the a the,safe
breathing slowly finding peace in to,safe
breathing slowly finding peace to in the and is,safe
gentle waves on a distant shore is a and in is,safe
cutting myself to feel something feel,self_harm
the world is beautiful and so are you and a to,safe
gentle waves on a distant shore to the,safe
missing you more every single day,grief_trigger
no reason left to live today me me just,self_harm
breathing slowly finding peace is and of,safe
stars reflected in still water to to to,safe
soft piano notes drifting in silence the of a the is,safe
gentle waves on a distant shore the to is,safe
finding strength in every new day in in,safe
no reason left to live today feel feel,self_harm
hopeless and worthless forever I so feel,self_harm
finding strength in every new day of and and,safe
walking through fields of golden wheat to and in of,safe
walking through fields of golden wheat to in in in to,safe
a warm breeze through an open window and and,safe
breathing slowly finding peace and and,safe
the morning light through autumn leaves and in in,safe
gentle waves on a distant shore is and of,safe
missing you more every single day,grief_trigger
cutting myself to feel something just I so,self_harm
finding strength in every new day is a the,safe
soft piano notes drifting in silence a in is the,safe
gentle waves on a distant shore and the,safe
breathing slowly finding peace to in a,safe
rain falling on a quiet street and and a of,safe
soft piano notes drifting in silence and to the,safe
the world is beautiful and so are you and a is and,safe
drowning my pain in another drink,substance_abuse
rain falling on a quiet street the is the to in,safe
cutting myself to feel something I,self_harm
pills to make the feelings stop,substance_abuse
finding strength in every new day in a the of,safe
breathing slowly finding peace is in the,safe
drowning my pain in another drink,substance_abuse
cutting myself to feel something feel just I,self_harm
walking through fields of golden wheat is a and is,safe
breathing slowly finding peace of the,safe
a warm breeze through an open window and a and to,safe
the morning light through autumn leaves and and the is,safe
the morning light through autumn leaves a to,safe
drowning my pain in another drink,substance_abuse
the empty chair where you used to sit,grief_trigger
drowning my pain in another drink,substance_abuse
want to die and end it all just,self_harm
rain falling on a quiet street the the the in,safe
gentle waves on a distant shore in and of of is,safe
soft piano notes drifting in silence is and,safe
no reason left to live today I,self_harm
rain falling on a quiet street and in of in,safe
a warm breeze through an open window is to of,safe
breathing slowly finding peace in a a,safe
walking through fields of golden wheat a in and of to,safe
nobody would miss me if I was gone just so,self_harm
want to die and end it all feel me,self_harm
the world is beautiful and so are you is of to in and,safe
soft piano notes drifting in silence a to,safe
finding strength in every new day is is of the,safe
stars reflected in still water of to in is of,safe
gentle waves on a distant shore of a and,safe
walking through fields of golden wheat and a of,safe
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore in is is in,safe
gentle waves on a distant shore and is,safe
gentle waves on a distant shore the a in in the,safe
pills to make the feelings stop,substance_abuse
finding strength in every new day is and in,safe
the morning light through autumn leaves of a,safe
no reason left to live today I I,self_harm
walking through fields of golden wheat is a and of a,safe
the world is beautiful and so are you is to of to,safe
soft piano notes drifting in silence is the to of a,safe
the world is beautiful and so are you in and in of,safe
rain falling on a quiet street in in in in,safe
a warm breeze through an open window of a the,safe
no reason left to live today just just I,self_harm
want to die and end it all just,self_harm
drowning my pain in another drink,substance_abuse
finding strength in every new day to to of and and,safe
the world is beautiful and so are you in the the,safe
hopeless and worthless forever so,self_harm
gentle waves on a distant shore to to of to is,safe
gentle waves on a distant shore is is a and,safe
the empty chair where you used to sit,grief_trigger
gentle waves on a distant shore and of and of and,safe
the morning light through autumn leaves of to and is,safe
a warm breeze through an open window the and,safe
soft piano notes drifting in silence the and a,safe
walking through fields of golden wheat the is and,safe
rain falling on a quiet street and is in,safe
stars reflected in still water in in,safe
drowning my pain in another drink,substance_abuse
missing you more every single day,grief_trigger
hopeless and worthless forever feel feel so,self_harm
gentle waves on a distant shore of the in a,safe
nobody would miss me if I was gone so just just,self_harm
the morning light through autumn leaves and is and,safe
the morning light through autumn leaves to to is a,safe
rain falling on a quiet street the is,safe
soft piano notes drifting in silence and of and and,safe
rain falling on a quiet street the and the and is,safe
the morning light through autumn leaves is in to of the,safe
no reason left to live today me,self_harm
breathing slowly finding peace to is the and,safe
carrying the loss that will not fade,grief_trigger
carrying the loss that will not fade,grief_trigger
the world is beautiful and so are you and and and a to,safe
the world is beautiful and so are you is in in of,safe
the morning light through autumn leaves is a to a,safe
hopeless and worthless forever I,self_harm
the morning light through autumn leaves to in,safe
the world is beautiful and so are you of a of,safe
hopeless and worthless forever me I,self_harm
want to die and end it all just just just,self_harm
finding strength in every new day and is is to,safe
the morning light through autumn leaves in a to,safe
hopeless and worthless forever so feel,self_harm
the morning light through autumn leaves and is the,safe
finding strength in every new day the to a of,safe
nobody would miss me if I was gone feel,self_harm
soft piano notes drifting in silence and to a,safe
cutting myself to feel something me just,self_harm
nobody would miss me if I was gone just,self_harm
carrying the loss that will not fade,grief_trigger
the world is beautiful and so are you of is in a,safe
the world is beautiful and so are you is the,safe
drowning my pain in another drink,substance_abuse
the empty chair where you used to sit,grief_trigger
finding strength in every new day to to is in,safe
gentle waves on a distant shore and to to of,safe
no reason left to live today I,self_harm
a warm breeze through an open window of the a to,safe
cutting myself to feel something feel I,self_harm
the empty chair where you used to sit,grief_trigger
stars reflected in still water and is,safe
stars reflected in still water a the is the,safe
stars reflected in still water is is to and a,safe
walking through fields of golden wheat the and is in to,safe
the world is beautiful and so are you is of in,safe
stars reflected in still water a and in of the,safe
nobody would miss me if I was gone I me me,self_harm
pills to make the feelings stop,substance_abuse
cutting myself to feel something I feel,self_harm
breathing slowly finding peace of of,safe
cutting myself to feel something so feel so,self_harm
soft piano notes drifting in silence is in and in,safe
the empty chair where you used to sit,grief_trigger
walking through fields of golden wheat a the is of,safe
gentle waves on a distant shore in the to to and,safe
stars reflected in still water a and,safe
gentle waves on a distant shore and in to,safe
rain falling on a quiet street is the in,safe
the world is beautiful and so are you and a a,safe
the morning light through autumn leaves of in a,safe
breathing slowly finding peace in of in the to,safe
no reason left to live today I feel me,self_harm
cutting myself to feel something me me,self_harm
missing you more every single day,grief_trigger
drowning my pain in another drink,substance_abuse
carrying the loss that will not fade,grief_trigger
walking through fields of golden wheat and is of,safe
stars reflected in still water to is,safe
nobody would miss me if I was gone so,self_harm
missing you more every single day,grief_trigger
drowning my pain in another drink,substance_abuse
stars reflected in still water in the the of,safe
walking through fields of golden wheat the to in of,safe
the world is beautiful and so are you and a,safe
carrying the loss that will not fade,grief_trigger
stars reflected in still water is is a,safe
breathing slowly finding peace and and,safe
nobody would miss me if I was gone me,self_harm
breathing slowly finding peace a the,safe
the world is beautiful and so are you in in to in to,safe
rain falling on a quiet street to of the,safe
a warm breeze through an open window and of,safe
rain falling on a quiet street to the a a and,safe
no reason left to live today just just,self_harm
soft piano notes drifting in silence of and,safe
gentle waves on a distant shore in to is and and,safe
pills to make the feelings stop,substance_abuse
the empty chair where you used to sit,grief_trigger
soft piano notes drifting in silence of and and and,safe
a warm breeze through an open window of and the,safe
hopeless and worthless forever me,self_harm
soft piano notes drifting in silence the of and,safe
cutting myself to feel something I,self_harm
the morning light through autumn leaves a and,safe
nobody would miss me if I was gone feel,self_harm
hopeless and worthless forever feel me just,self_harm
the morning light through autumn leaves and and,safe
finding strength in every new day of is to is,safe
hopeless and worthless forever feel I so,self_harm
want to die and end it all me feel,self_harm
soft piano notes drifting in silence of and is is,safe
breathing slowly finding peace is to the the the,safe
breathing slowly finding peace of to,safe
the morning light through autumn leaves of a is and,safe
breathing slowly finding peace a the in to of,safe
stars reflected in still water and a,safe
no reason left to live today me,self_harm
want to die and end it all me I just,self_harm
cutting myself to feel something so feel,self_harm
stars reflected in still water the and,safe
walking through fields of golden wheat the in the the,safe
finding strength in every new day of to,safe
the world is beautiful and so are you in a,safe
walking through fields of golden wheat to a to to,safe
stars reflected in still water to a in of,safe
want to die and end it all so so,self_harm
breathing slowly finding peace in a a,safe
finding strength in every new day in of and is of,safe
finding strength in every new day and to to,safe
want to die and end it all I I I,self_harm
walking through fields of golden wheat a in,safe
carrying the loss that will not fade,grief_trigger
a warm breeze through an open window to is a of to,safe
want to die and end it all so just,self_harm
breathing slowly finding peace the of and,safe
breathing slowly finding peace to and the,safe
hopeless and worthless forever I just feel,self_harm
rain falling on a quiet street is the the a and,safe
the world is beautiful and so are you in a in to,safe
gentle waves on a distant shore a in to,safe
gentle waves on a distant shore the the,safe
pills to make the feelings stop,substance_abuse
hopeless and worthless forever just so,self_harm
rain falling on a quiet street of the of,safe
soft piano notes drifting in silence is is a the,safe
soft piano notes drifting in silence is and a in,safe
finding strength in every new day and a to,safe
carrying the loss that will not fade,grief_trigger
finding strength in every new day a a and and is,safe
finding strength in every new day the and in in is,safe
cutting myself to feel something me,self_harm
breathing slowly finding peace a a and,safe
want to die and end it all me,self_harm
nobody would miss me if I was gone just so I,self_harm
nobody would miss me if I was gone so me,self_harm
hopeless and worthless forever feel feel just,self_harm
a warm breeze through an open window and a the a,safe
cutting myself to feel something feel me me,self_harm
no reason left to live today I I me,self_harm
want to die and end it all so feel feel,self_harm
the world is beautiful and so are you the is,safe
hopeless and worthless forever so so,self_harm
soft piano notes drifting in silence the of of,safe
a warm breeze through an open window to in,safe
walking through fields of golden wheat a is a in is,safe
gentle waves on a distant shore a the is,safe
cutting myself to feel something just I I,self_harm
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore is the a is,safe
missing you more every single day,grief_trigger
soft piano notes drifting in silence is to of and,safe
missing you more every single day,grief_trigger
walking through fields of golden wheat a the in a of,safe
a warm breeze through an open window to and,safe
walking through fields of golden wheat and of,safe
stars reflected in still water to of a to,safe
walking through fields of golden wheat of the,safe
cutting myself to feel something so,self_harm
want to die and end it all me,self_harm
gentle waves on a distant shore of the is a,safe
walking through fields of golden wheat and a,safe
no reason left to live today feel me just,self_harm
cutting myself to feel something I so me,self_harm
stars reflected in still water of is is,safe
finding strength in every new day to in in the,safe
the world is beautiful and so are you to to in the of,safe
want to die and end it all feel feel feel,self_harm
a warm breeze through an open window to to,safe
drowning my pain in another drink,substance_abuse
finding strength in every new day the in a,safe
want to die and end it all feel,self_harm
the morning light through autumn leaves in and,safe
cutting myself to feel something me just I,self_harm
a warm breeze through an open window the in a a to,safe
no reason left to live today just me so,self_harm
walking through fields of golden wheat to a of of a,safe
rain falling on a quiet street the to a,safe
gentle waves on a distant shore the the is,safe
the morning light through autumn leaves and the and,safe
the world is beautiful and so are you a and,safe
soft piano notes drifting in silence a the the of of,safe
gentle waves on a distant shore in a in the of,safe
breathing slowly finding peace the in in is,safe
finding strength in every new day to the and and the,safe
soft piano notes drifting in silence to a in,safe
hopeless and worthless forever so just,self_harm
cutting myself to feel something just,self_harm
walking through fields of golden wheat in and,safe
cutting myself to feel something me feel so,self_harm
breathing slowly finding peace in and in,safe
rain falling on a quiet street the to,safe
breathing slowly finding peace is a,safe
rain falling on a quiet street of is of a a,safe
soft piano notes drifting in silence to in in a in,safe
rain falling on a quiet street a in of of,safe
the world is beautiful and so are you to is a,safe
the world is beautiful and so are you in to the a,safe
finding strength in every new day the in the and a,safe
pills to make the feelings stop,substance_abuse
rain falling on a quiet street to of in of,safe
walking through fields of golden wheat is a of,safe
cutting myself to feel something feel,self_harm
gentle waves on a distant shore and is the in,safe
nobody would miss me if I was gone me,self_harm
cutting myself to feel something just me,self_harm
breathing slowly finding peace of in,safe
a warm breeze through an open window to of a and to,safe
finding strength in every new day to of to,safe
the world is beautiful and so are you a to,safe
a warm breeze through an open window of the,safe
gentle waves on a distant shore is the,safe
a warm breeze through an open window to a,safe
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves a is and in in,safe
stars reflected in still water to a,safe
no reason left to live today I,self_harm
want to die and end it all just just,self_harm
the world is beautiful and so are you a a to,safe
the morning light through autumn leaves is is of in,safe
the morning light through autumn leaves to in of a,safe
pills to make the feelings stop,substance_abuse
the world is beautiful and so are you in is,safe
soft piano notes drifting in silence is the to,safe
soft piano notes drifting in silence the in of,safe
gentle waves on a distant shore a to the a of,safe
nobody would miss me if I was gone so I,self_harm
want to die and end it all I I so,self_harm
rain falling on a quiet street and to and of a,safe
rain falling on a quiet street and of,safe
the morning light through autumn leaves to to is and a,safe
walking through fields of golden wheat in of,safe
hopeless and worthless forever so so me,self_harm
the world is beautiful and so are you the and,safe
the morning light through autumn leaves is a the is,safe
missing you more every single day,grief_trigger
the empty chair where you used to sit,grief_trigger
carrying the loss that will not fade,grief_trigger
soft piano notes drifting in silence is to in,safe
finding strength in every new day of of and is,safe
cutting myself to feel something I feel,self_harm
breathing slowly finding peace in the and,safe
breathing slowly finding peace the the,safe
want to die and end it all feel so,self_harm
the morning light through autumn leaves is in to,safe
rain falling on a quiet street of a,safe
the morning light through autumn leaves of a in to,safe
carrying the loss that will not fade,grief_trigger
a warm breeze through an open window is is in,safe
the morning light through autumn leaves in is,safe
carrying the loss that will not fade,grief_trigger
finding strength in every new day a and in,safe
breathing slowly finding peace and and of a the,safe
a warm breeze through an open window the a in a of,safe
rain falling on a quiet street of a is,safe
soft piano notes drifting in silence of the of a,safe
soft piano notes drifting in silence a of to of a,safe
the morning light through autumn leaves the and is the,safe
gentle waves on a distant shore in a is of,safe
the morning light through autumn leaves of is in,safe
cutting myself to feel something I,self_harm
rain falling on a quiet street a a is is to,safe
nobody would miss me if I was gone so so I,self_harm
gentle waves on a distant shore in is and the,safe
finding strength in every new day is in,safe
the world is beautiful and so are you a is to,safe
gentle waves on a distant shore to and to in,safe
soft piano notes drifting in silence is the,safe
soft piano notes drifting in silence in the,safe
finding strength in every new day in to and to,safe
the morning light through autumn leaves the of and,safe
finding strength in every new day in of the,safe
rain falling on a quiet street of is in the the,safe
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves to the,safe
want to die and end it all so feel feel,self_harm
walking through fields of golden wheat in in the and,safe
stars reflected in still water is the a,safe
gentle waves on a distant shore a in of,safe
gentle waves on a distant shore is is the,safe
the morning light through autumn leaves of of a and,safe
finding strength in every new day in of in,safe
soft piano notes drifting in silence to in in,safe
the empty chair where you used to sit,grief_trigger
breathing slowly finding peace the the of a is,safe
stars reflected in still water to in,safe
the world is beautiful and so are you in a to,safe
cutting myself to feel something I just,self_harm
cutting myself to feel something feel,self_harm
drowning my pain in another drink,substance_abuse
carrying the loss that will not fade,grief_trigger
the world is beautiful and so are you of of the the,safe
cutting myself to feel something I,self_harm
soft piano notes drifting in silence a of,safe
finding strength in every new day the and and,safe
the empty chair where you used to sit,grief_trigger
breathing slowly finding peace to the of,safe
finding strength in every new day the in in the,safe
stars reflected in still water the to and is,safe
breathing slowly finding peace to the is and and,safe
the empty chair where you used to sit,grief_trigger
want to die and end it all I just,self_harm
breathing slowly finding peace to in a is is,safe
the morning light through autumn leaves and a to the of,safe
hopeless and worthless forever I just so,self_harm
breathing slowly finding peace is in and,safe
finding strength in every new day a of is,safe
cutting myself to feel something so I,self_harm
soft piano notes drifting in silence and to and a is,safe
gentle waves on a distant shore is to is to in,safe
the empty chair where you used to sit,grief_trigger
cutting myself to feel something me,self_harm
the morning light through autumn leaves the a of,safe
no reason left to live today feel so just,self_harm
the world is beautiful and so are you and and,safe
missing you more every single day,grief_trigger
drowning my pain in another drink,substance_abuse
gentle waves on a distant shore the the to of in,safe
rain falling on a quiet street in and the of,safe
hopeless and worthless forever feel feel I,self_harm
stars reflected in still water is a is to,safe
rain falling on a quiet street the of of,safe
soft piano notes drifting in silence the to,safe
the morning light through autumn leaves and a the a and,safe
finding strength in every new day in the to to,safe
stars reflected in still water the of to,safe
walking through fields of golden wheat and a to in,safe
hopeless and worthless forever feel I,self_harm
rain falling on a quiet street to a to,safe
the world is beautiful and so are you and the to,safe
breathing slowly finding peace of of and in a,safe
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore of of is and,safe
carrying the loss that will not fade,grief_trigger
the morning light through autumn leaves in of,safe
the morning light through autumn leaves is a and to is,safe
no reason left to live today so feel,self_harm
nobody would miss me if I was gone so,self_harm
missing you more every single day,grief_trigger
nobody would miss me if I was gone I,self_harm
gentle waves on a distant shore is to,safe
want to die and end it all feel just,self_harm
walking through fields of golden wheat to and,safe
soft piano notes drifting in silence to to,safe
cutting myself to feel something so,self_harm
walking through fields of golden wheat a and,safe
walking through fields of golden wheat the to is,safe
nobody would miss me if I was gone feel I,self_harm
missing you more every single day,grief_trigger
the morning light through autumn leaves is and the and of,safe
soft piano notes drifting in silence is to of and the,safe
missing you more every single day,grief_trigger
stars reflected in still water and a a,safe
a warm breeze through an open window a a is in,safe
pills to make the feelings stop,substance_abuse
no reason left to live today feel so,self_harm
stars reflected in still water in is to,safe
rain falling on a quiet street to the the,safe
missing you more every single day,grief_trigger
a warm breeze through an open window a of the the,safe
the morning light through autumn leaves to in the to,safe
the morning light through autumn leaves to in to to is,safe
stars reflected in still water to to of,safe
the empty chair where you used to sit,grief_trigger
want to die and end it all just feel I,self_harm
gentle waves on a distant shore is to,safe
missing you more every single day,grief_trigger
walking through fields of golden wheat in to of in a,safe
walking through fields of golden wheat is a a the the,safe
soft piano notes drifting in silence to of,safe
the world is beautiful and so are you and to the,safe
missing you more every single day,grief_trigger
no reason left to live today me I so,self_harm
nobody would miss me if I was gone feel just just,self_harm
finding strength in every new day in to,safe
stars reflected in still water is is of is,safe
the morning light through autumn leaves in the to is is,safe
finding strength in every new day to and and,safe
a warm breeze through an open window the to a of is,safe
carrying the loss that will not fade,grief_trigger
finding strength in every new day a to in,safe
the morning light through autumn leaves is to and in,safe
walking through fields of golden wheat to in to,safe
rain falling on a quiet street a of,safe
soft piano notes drifting in silence of and,safe
soft piano notes drifting in silence in is,safe
no reason left to live today me just I,self_harm
pills to make the feelings stop,substance_abuse
finding strength in every new day a to is,safe
finding strength in every new day the and is,safe
the world is beautiful and so are you is in a of is,safe
no reason left to live today me feel feel,self_harm
walking through fields of golden wheat to is a in,safe
the morning light through autumn leaves of the and,safe
breathing slowly finding peace is is a,safe
breathing slowly finding peace the a to,safe
want to die and end it all I so just,self_harm
hopeless and worthless forever so,self_harm
breathing slowly finding peace of in to of in,safe
the world is beautiful and so are you to a a,safe
breathing slowly finding peace in the,safe
want to die and end it all me I me,self_harm
gentle waves on a distant shore and is to of to,safe
gentle waves on a distant shore the a of is,safe
rain falling on a quiet street and the is,safe
gentle waves on a distant shore and a,safe
carrying the loss that will not fade,grief_trigger
finding strength in every new day of of and,safe
rain falling on a quiet street in and in,safe
soft piano notes drifting in silence of the,safe
nobody would miss me if I was gone feel,self_harm
gentle waves on a distant shore is is the,safe
breathing slowly finding peace of of the of to,safe
no reason left to live today I feel so,self_harm
hopeless and worthless forever so so,self_harm
no reason left to live today I me feel,self_harm
breathing slowly finding peace and is a and is,safe
want to die and end it all just,self_harm
stars reflected in still water of in in is,safe
finding strength in every new day the and to,safe
walking through fields of golden wheat and to,safe
walking through fields of golden wheat is in in and is,safe
gentle waves on a distant shore a and,safe
pills to make the feelings stop,substance_abuse
walking through fields of golden wheat the to,safe
no reason left to live today just I I,self_harm
breathing slowly finding peace the to the of of,safe
gentle waves on a distant shore and of of a to,safe
a warm breeze through an open window of is of to is,safe
the world is beautiful and so are you the and to a and,safe
walking through fields of golden wheat of of,safe
stars reflected in still water is a a in and,safe
walking through fields of golden wheat a to in,safe
stars reflected in still water in the of to in,safe
walking through fields of golden wheat is and,safe
walking through fields of golden wheat of the the and,safe
the world is beautiful and so are you in and is,safe
gentle waves on a distant shore and a,safe
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore in a a the,safe
the morning light through autumn leaves the of,safe
the morning light through autumn leaves of to and to is,safe
missing you more every single day,grief_trigger
gentle waves on a distant shore to to,safe
nobody would miss me if I was gone feel feel,self_harm
want to die and end it all so me,self_harm
no reason left to live today just,self_harm
soft piano notes drifting in silence the in the and and,safe
walking through fields of golden wheat to to a in to,safe
nobody would miss me if I was gone I feel I,self_harm
want to die and end it all just,self_harm
gentle waves on a distant shore a of in,safe
finding strength in every new day the a,safe
gentle waves on a distant shore to the,safe
rain falling on a quiet street to a a a to,safe
rain falling on a quiet street to of,safe
nobody would miss me if I was gone I,self_harm
soft piano notes drifting in silence in and of of,safe
want to die and end it all so so just,self_harm
rain falling on a quiet street is and,safe
the world is beautiful and so are you the of is,safe
nobody would miss me if I was gone me I,self_harm
missing you more every single day,grief_trigger
finding strength in every new day and to is,safe
a warm breeze through an open window to a to and,safe
rain falling on a quiet street in a,safe
soft piano notes drifting in silence the and and,safe
nobody would miss me if I was gone feel I me,self_harm
stars reflected in still water to to in a,safe
gentle waves on a distant shore a is in is,safe
soft piano notes drifting in silence of the and and,safe
no reason left to live today so,self_harm
the empty chair where you used to sit,grief_trigger
carrying the loss that will not fade,grief_trigger
want to die and end it all me just so,self_harm
the morning light through autumn leaves of and to,safe
walking through fields of golden wheat is a,safe
nobody would miss me if I was gone so,self_harm
cutting myself to feel something just,self_harm
nobody would miss me if I was gone just,self_harm
breathing slowly finding peace to a to in and,safe
the morning light through autumn leaves and the to,safe
walking through fields of golden wheat and the and of,safe
a warm breeze through an open window is in the and,safe
finding strength in every new day the of to and,safe
walking through fields of golden wheat is a of,safe
finding strength in every new day and in in in,safe
a warm breeze through an open window a is to and,safe
stars reflected in still water of of of and the,safe
soft piano notes drifting in silence to in in in in,safe
a warm breeze through an open window to to and and,safe
hopeless and worthless forever feel,self_harm
walking through fields of golden wheat and is a to,safe
gentle waves on a distant shore in a in,safe
the world is beautiful and so are you and to of a and,safe
stars reflected in still water the the of,safe
the morning light through autumn leaves in and and,safe
pills to make the feelings stop,substance_abuse
walking through fields of golden wheat the a is of to,safe
the world is beautiful and so are you in of,safe
breathing slowly finding peace of the to to and,safe
breathing slowly finding peace a to and,safe
hopeless and worthless forever so feel so,self_harm
pills to make the feelings stop,substance_abuse
hopeless and worthless forever feel so,self_harm
pills to make the feelings stop,substance_abuse
a warm breeze through an open window to the and,safe
gentle waves on a distant shore in a the,safe
breathing slowly finding peace in is to the a,safe
stars reflected in still water the to a in in,safe
the world is beautiful and so are you and and,safe
no reason left to live today me,self_harm
soft piano notes drifting in silence is to the is,safe
no reason left to live today so me just,self_harm
the morning light through autumn leaves is a a to,safe
breathing slowly finding peace of is of,safe
nobody would miss me if I was gone so,self_harm
breathing slowly finding peace is and,safe
pills to make the feelings stop,substance_abuse
the world is beautiful and so are you in the the the a,safe
stars reflected in still water of is,safe
the world is beautiful and so are you of the,safe
pills to make the feelings stop,substance_abuse
breathing slowly finding peace of the to is,safe
stars reflected in still water and is and to of,safe
a warm breeze through an open window in the,safe
breathing slowly finding peace to of,safe
hopeless and worthless forever me feel,self_harm
the world is beautiful and so are you the is is,safe
the morning light through autumn leaves and and a,safe
rain falling on a quiet street and in of in,safe
finding strength in every new day of in a,safe
the morning light through autumn leaves is is a in,safe
the world is beautiful and so are you is and a is in,safe
rain falling on a quiet street a to a,safe
walking through fields of golden wheat a and of in is,safe
rain falling on a quiet street is a and the a,safe
drowning my pain in another drink,substance_abuse
stars reflected in still water in in,safe
gentle waves on a distant shore to to the,safe
breathing slowly finding peace is of,safe
the world is beautiful and so are you a of to,safe
nobody would miss me if I was gone just so feel,self_harm
stars reflected in still water of in,safe
the morning light through autumn leaves of of and of in,safe
breathing slowly finding peace in a,safe
walking through fields of golden wheat to to is in,safe
nobody would miss me if I was gone I me feel,self_harm
breathing slowly finding peace a and to,safe
breathing slowly finding peace a and a,safe
gentle waves on a distant shore of is of,safe
finding strength in every new day of to the and,safe
finding strength in every new day the the and a is,safe
a warm breeze through an open window in to and a in,safe
nobody would miss me if I was gone just I feel,self_harm
gentle waves on a distant shore and a in a in,safe
the world is beautiful and so are you to to the the,safe
stars reflected in still water of to,safe
breathing slowly finding peace in of is of,safe
hopeless and worthless forever just feel me,self_harm
rain falling on a quiet street to and in,safe
gentle waves on a distant shore is in,safe
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves the and to,safe
carrying the loss that will not fade,grief_trigger
walking through fields of golden wheat the a the of in,safe
hopeless and worthless forever I just,self_harm
a warm breeze through an open window is of is the,safe
want to die and end it all me just me,self_harm
pills to make the feelings stop,substance_abuse
nobody would miss me if I was gone just,self_harm
stars reflected in still water is a and,safe
hopeless and worthless forever me I so,self_harm
walking through fields of golden wheat of is,safe
nobody would miss me if I was gone just just,self_harm
pills to make the feelings stop,substance_abuse
cutting myself to feel something so me,self_harm
breathing slowly finding peace the in is in,safe
gentle waves on a distant shore in to in to to,safe
breathing slowly finding peace of of of a the,safe
the morning light through autumn leaves in and of and to,safe
gentle waves on a distant shore of to,safe
cutting myself to feel something I,self_harm
rain falling on a quiet street and of in a in,safe
drowning my pain in another drink,substance_abuse
cutting myself to feel something so so me,self_harm
the world is beautiful and so are you the and in and the,safe
a warm breeze through an open window the in,safe
walking through fields of golden wheat a is in of,safe
